/* DATA DESCRIPTION:
Citation:	Barnet, James S K; Littler, Kate; Westerhold, Thomas; Kroon, Dick; Leng, Melanie J; Bailey, Ian; Röhl, Ursula; Zachos, James C (2019): Late Maastrichtian-early Eocene bulk sediment stable carbon and oxygen isotope records from ODP Site 208-1262, South Atlantic [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.903507, 
	In supplement to: Barnet, JSK et al. (2019): A High-Fidelity Benthic Stable Isotope Record of Late Cretaceous–Early Eocene Climate Change and Carbon-Cycling. Paleoceanography and Paleoclimatology, 34(4), 672-691, https://doi.org/10.1029/2019PA003556
Related to:	Kroon, Dick; Zachos, James C; ODP Leg 208 Shipboard Scientific Party (2007): Leg 208 synthesis: Cenozoic climate cycles and excursions. In: Kroon, D.; Zachos, J.C.; Richter, C. (eds.), Proceedings of the Ocean Drilling Program, 208 Scientific Results, Proceedings of the Ocean Drilling Program, 208, Ocean Drilling Program, 208, 1-55, https://doi.org/10.2973/odp.proc.sr.208.201.2007
	Littler, Kate; Röhl, Ursula; Westerhold, Thomas; Zachos, James C (2014): A high-resolution benthic stable-isotope record for the South Atlantic: Implications for orbital-scale changes in Late Paleocene–Early Eocene climate and carbon cycling. Earth and Planetary Science Letters, 401, 18-30, https://doi.org/10.1016/j.epsl.2014.05.054
	Lourens, Lucas Joost; Sluijs, Appy; Kroon, Dick; Zachos, James C; Thomas, Ellen; Röhl, Ursula; Raffi, Isabella (2005): Astronomical pacing of late Palaeocene to early Eocene global warming events. Nature, 435(23), 1083-1087, https://doi.org/10.1038/nature03814
	Zachos, James C; McCarren, Heather K; Murphy, Brandon; Röhl, Ursula; Westerhold, Thomas (2010): Tempo and scale of late Paleocene and early Eocene carbon isotope cycles: Implications for the origin of hyperthermals. Earth and Planetary Science Letters, 299(1-2), 242-249, https://doi.org/10.1016/j.epsl.2010.09.004
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -27.185833 * LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00
	MINIMUM DEPTH, sediment/rock: 107.49 m * MAXIMUM DEPTH, sediment/rock: 236.07 m
Event(s):	208-1262 * LATITUDE: -27.185833 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00 * ELEVATION: -4755.4 m * Penetration: 583.9 m * Recovery: 502.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 54 cores; 493.9 m cored; 90 m drilled; 101.7 % recovery
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: mcd
	δ13C, bulk carbonate [‰ PDB] (δ13C bulk carb) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	δ18O, bulk carbonate [‰ PDB] (δ18O bulk carb) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	AGE [ka BP] (Age) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	Reference/source (Reference) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	13088 data points
*/
Depth sed [m]	δ13C bulk carb [‰ PDB]	δ18O bulk carb [‰ PDB]	Age [ka BP]	Reference
134.01	1.882	-0.268	55393	Zachos et al. (2010)
134.03	1.911	-0.370	55395	Zachos et al. (2010)
134.04	1.870	-0.274	55396	Zachos et al. (2010)
134.07	1.856	-0.415	55398	Zachos et al. (2010)
134.10	1.866	-0.451	55401	Zachos et al. (2010)
134.13	1.850	-0.441	55403	Zachos et al. (2010)
134.16	1.785	-0.519	55405	Zachos et al. (2010)
134.19	1.828	-0.406	55408	Zachos et al. (2010)
134.22	1.858	-0.421	55410	Zachos et al. (2010)
134.25	1.861	-0.354	55412	Zachos et al. (2010)
134.28	1.971	-0.265	55415	Zachos et al. (2010)
134.31	1.885	-0.313	55417	Zachos et al. (2010)
134.34	1.909	-0.389	55420	Zachos et al. (2010)
134.37	1.873	-0.391	55422	Zachos et al. (2010)
134.40	1.844	-0.492	55424	Zachos et al. (2010)
134.43	1.842	-0.409	55427	Zachos et al. (2010)
134.46	1.846	-0.493	55429	Zachos et al. (2010)
134.49	1.894	-0.421	55432	Zachos et al. (2010)
134.52	1.863	-0.435	55434	Zachos et al. (2010)
134.55	1.860	-0.383	55436	Zachos et al. (2010)
134.58	1.876	-0.375	55439	Zachos et al. (2010)
134.61	1.852	-0.400	55441	Zachos et al. (2010)
134.64	1.915	-0.371	55443	Zachos et al. (2010)
134.67	1.908	-0.422	55446	Zachos et al. (2010)
134.70	1.934	-0.422	55448	Zachos et al. (2010)
134.73	1.814	-0.577	55451	Zachos et al. (2010)
134.76	1.847	-0.525	55453	Zachos et al. (2010)
134.79	1.877	-0.481	55455	Zachos et al. (2010)
134.82	1.812	-0.471	55458	Zachos et al. (2010)
134.85	1.762	-0.504	55460	Zachos et al. (2010)
134.88	1.767	-0.526	55462	Zachos et al. (2010)
134.91	1.751	-0.541	55464	Zachos et al. (2010)
134.94	1.856	-0.524	55467	Zachos et al. (2010)
134.97	1.857	-0.506	55469	Zachos et al. (2010)
135.00	1.942	-0.393	55471	Zachos et al. (2010)
135.03	1.942	-0.389	55473	Zachos et al. (2010)
135.06	1.908	-0.431	55475	Zachos et al. (2010)
135.09	1.908	-0.466	55477	Zachos et al. (2010)
135.12	1.900	-0.374	55480	Zachos et al. (2010)
135.15	1.885	-0.426	55482	Zachos et al. (2010)
135.18	1.860	-0.431	55484	Zachos et al. (2010)
135.21	1.899	-0.389	55486	Zachos et al. (2010)
135.24	1.909	-0.326	55488	Zachos et al. (2010)
135.27	1.946	-0.305	55490	Zachos et al. (2010)
135.30	1.908	-0.317	55493	Zachos et al. (2010)
135.33	1.906	-0.324	55495	Zachos et al. (2010)
135.36	1.871	-0.262	55497	Zachos et al. (2010)
135.39	1.881	-0.388	55499	Zachos et al. (2010)
135.42	1.961	-0.337	55501	Zachos et al. (2010)
135.45	1.924	-0.431	55503	Zachos et al. (2010)
135.48	1.921	-0.307	55506	Zachos et al. (2010)
135.51	1.900	-0.264	55508	Zachos et al. (2010)
135.54	1.875	-0.343	55510	Zachos et al. (2010)
135.57	1.859	-0.345	55512	Zachos et al. (2010)
135.60	1.842	-0.414	55514	Zachos et al. (2010)
135.63	1.908	-0.390	55516	Zachos et al. (2010)
135.66	1.811	-0.488	55519	Zachos et al. (2010)
135.69	1.914	-0.346	55521	Zachos et al. (2010)
135.72	1.847	-0.409	55523	Zachos et al. (2010)
135.75	1.866	-0.343	55525	Zachos et al. (2010)
135.78	1.871	-0.237	55527	Zachos et al. (2010)
135.81	1.896	-0.309	55529	Zachos et al. (2010)
135.84	1.875	-0.326	55532	Zachos et al. (2010)
135.87	1.855	-0.392	55534	Zachos et al. (2010)
135.90	1.820	-0.565	55536	Zachos et al. (2010)
135.93	1.826	-0.565	55538	Zachos et al. (2010)
135.96	1.832	-0.561	55540	Zachos et al. (2010)
135.99	1.876	-0.531	55542	Zachos et al. (2010)
136.02	1.887	-0.457	55545	Zachos et al. (2010)
136.05	1.916	-0.357	55547	Zachos et al. (2010)
136.08	1.868	-0.362	55549	Zachos et al. (2010)
136.11	1.803	-0.501	55551	Zachos et al. (2010)
136.14	1.807	-0.477	55554	Zachos et al. (2010)
136.17	1.769	-0.502	55556	Zachos et al. (2010)
136.20	1.769	-0.512	55559	Zachos et al. (2010)
136.23	1.804	-0.442	55561	Zachos et al. (2010)
136.26	1.813	-0.380	55564	Zachos et al. (2010)
136.29	1.847	-0.291	55566	Zachos et al. (2010)
136.32	1.798	-0.287	55569	Zachos et al. (2010)
136.35	1.748	-0.382	55571	Zachos et al. (2010)
136.38	1.739	-0.581	55574	Zachos et al. (2010)
136.41	1.719	-0.729	55576	Zachos et al. (2010)
136.44	1.773	-0.668	55579	Zachos et al. (2010)
136.47	1.917	-0.429	55581	Zachos et al. (2010)
136.50	1.966	-0.370	55584	Zachos et al. (2010)
136.53	2.008	-0.359	55586	Zachos et al. (2010)
136.56	1.979	-0.330	55589	Zachos et al. (2010)
136.59	1.997	-0.282	55591	Zachos et al. (2010)
136.62	2.000	-0.253	55594	Zachos et al. (2010)
136.65	1.995	-0.275	55596	Zachos et al. (2010)
136.68	1.978	-0.281	55599	Zachos et al. (2005)
136.71	2.006	-0.311	55601	Zachos et al. (2005)
136.74	1.997	-0.290	55604	Zachos et al. (2005)
136.75	2.026	-0.438	55605	Zachos et al. (2005)
136.77	1.969	-0.395	55606	Zachos et al. (2005)
136.78	2.029	-0.390	55607	Zachos et al. (2005)
136.80	1.963	-0.396	55609	Zachos et al. (2005)
136.81	2.030	-0.437	55610	Zachos et al. (2005)
136.83	1.970	-0.368	55611	Zachos et al. (2005)
136.86	1.973	-0.394	55614	Zachos et al. (2005)
136.87	1.996	-0.435	55614	Zachos et al. (2005)
136.89	1.972	-0.335	55616	Zachos et al. (2005)
136.90	1.984	-0.419	55617	Zachos et al. (2005)
136.92	1.991	-0.258	55619	Zachos et al. (2005)
136.93	1.981	-0.506	55619	Zachos et al. (2005)
136.95	1.965	-0.332	55621	Zachos et al. (2005)
136.96	1.895	-0.489	55622	Zachos et al. (2005)
136.98	1.958	-0.295	55624	Zachos et al. (2005)
137.01	1.960	-0.349	55626	Zachos et al. (2005)
137.02	1.858	-0.564	55627	Zachos et al. (2005)
137.04	1.893	-0.327	55629	Zachos et al. (2005)
137.05	1.892	-0.631	55629	Zachos et al. (2005)
137.07	1.896	-0.347	55631	Zachos et al. (2005)
137.08	1.920	-0.491	55632	Zachos et al. (2005)
137.10	1.859	-0.370	55634	Zachos et al. (2005)
137.11	1.920	-0.541	55634	Zachos et al. (2005)
137.13	1.902	-0.431	55636	Zachos et al. (2005)
137.16	1.925	-0.327	55639	Zachos et al. (2005)
137.17	1.957	-0.437	55639	Zachos et al. (2005)
137.19	1.932	-0.322	55641	Zachos et al. (2005)
137.20	1.952	-0.342	55642	Zachos et al. (2005)
137.22	1.922	-0.304	55644	Zachos et al. (2005)
137.23	1.845	-0.542	55644	Zachos et al. (2005)
137.25	1.869	-0.385	55646	Zachos et al. (2005)
137.28	1.813	-0.401	55648	Zachos et al. (2005)
137.32	1.876	-0.530	55650	Zachos et al. (2005)
137.35	1.934	-0.582	55652	Zachos et al. (2005)
137.41	1.998	-0.542	55656	Zachos et al. (2005)
137.47	1.908	-0.624	55659	Zachos et al. (2005)
137.50	1.865	-0.741	55661	Zachos et al. (2005)
137.53	1.903	-0.687	55663	Zachos et al. (2005)
137.56	1.971	-0.532	55664	Zachos et al. (2005)
137.62	2.013	-0.589	55668	Zachos et al. (2005)
137.65	2.055	-0.590	55670	Zachos et al. (2005)
137.68	2.045	-0.583	55672	Zachos et al. (2005)
137.71	1.991	-0.628	55673	Zachos et al. (2005)
137.77	1.970	-0.652	55677	Zachos et al. (2005)
137.80	1.979	-0.653	55679	Zachos et al. (2005)
137.83	2.021	-0.639	55681	Zachos et al. (2005)
137.86	2.058	-0.606	55682	Zachos et al. (2005)
137.92	2.069	-0.585	55684	Zachos et al. (2005)
137.95	2.047	-0.516	55686	Zachos et al. (2005)
137.98	2.059	-0.433	55688	Zachos et al. (2005)
138.01	2.082	-0.457	55690	Zachos et al. (2005)
138.07	2.034	-0.487	55693	Zachos et al. (2005)
138.10	1.994	-0.542	55695	Zachos et al. (2005)
138.13	1.986	-0.556	55697	Zachos et al. (2005)
138.16	1.981	-0.508	55698	Zachos et al. (2005)
138.22	1.968	-0.408	55702	Zachos et al. (2005)
138.25	2.023	-0.358	55704	Zachos et al. (2005)
138.28	2.037	-0.335	55706	Zachos et al. (2005)
138.31	1.967	-0.415	55707	Zachos et al. (2005)
138.34	1.842	-0.724	55709	Zachos et al. (2005)
138.37	1.929	-0.490	55711	Zachos et al. (2005)
138.40	1.955	-0.574	55715	Zachos et al. (2005)
138.43	1.853	-0.733	55717	Zachos et al. (2005)
138.46	1.826	-0.662	55720	Zachos et al. (2005)
138.49	1.876	-0.478	55722	Zachos et al. (2005)
138.52	1.821	-0.621	55725	Zachos et al. (2005)
138.55	1.842	-0.602	55727	Zachos et al. (2005)
138.58	1.910	-0.439	55730	Zachos et al. (2005)
138.61	1.884	-0.431	55732	Zachos et al. (2005)
138.64	1.901	-0.467	55735	Zachos et al. (2005)
138.67	1.878	-0.369	55737	Zachos et al. (2005)
138.70	1.843	-0.365	55739	Zachos et al. (2005)
138.73	1.797	-0.496	55742	Zachos et al. (2005)
138.79	1.731	-0.577	55747	Zachos et al. (2005)
138.82	1.764	-0.471	55749	Zachos et al. (2005)
138.85	1.812	-0.357	55752	Zachos et al. (2005)
138.88	1.819	-0.258	55754	Zachos et al. (2005)
138.91	1.828	-0.382	55757	Zachos et al. (2005)
138.94	1.766	-0.377	55759	Zachos et al. (2005)
138.97	1.821	-0.310	55761	Zachos et al. (2005)
139.00	1.852	-0.244	55764	Zachos et al. (2005)
139.03	1.755	-0.516	55766	Zachos et al. (2005)
139.06	1.800	-0.209	55769	Zachos et al. (2005)
139.09	1.729	-0.543	55771	Zachos et al. (2005)
139.12	1.804	-0.409	55774	Zachos et al. (2005)
139.13	1.780	-0.338	55775	Zachos et al. (2005)
139.14	1.761	-0.670	55775	Zachos et al. (2005)
139.15	1.761	-0.483	55776	Zachos et al. (2005)
139.16	1.832	-0.192	55777	Zachos et al. (2005)
139.17	1.793	-0.296	55778	Zachos et al. (2005)
139.18	1.860	-0.245	55779	Zachos et al. (2005)
139.19	1.817	-0.386	55780	Zachos et al. (2005)
139.20	1.699	-0.557	55782	Zachos et al. (2005)
139.21	1.753	-0.367	55783	Zachos et al. (2005)
139.22	1.785	-0.382	55785	Zachos et al. (2005)
139.23	1.798	-0.254	55786	Zachos et al. (2005)
139.25	1.791	-0.542	55790	Zachos et al. (2005)
139.26	1.802	-0.324	55791	Zachos et al. (2005)
139.27	1.796	-0.167	55793	Zachos et al. (2005)
139.28	1.789	-0.369	55794	Zachos et al. (2005)
139.29	1.810	-0.343	55796	Zachos et al. (2005)
139.30	1.699	-0.618	55797	Zachos et al. (2005)
139.31	1.792	-0.402	55799	Zachos et al. (2005)
139.32	1.726	-0.358	55801	Zachos et al. (2005)
139.33	1.745	-0.381	55802	Zachos et al. (2005)
139.34	1.728	-0.373	55804	Zachos et al. (2005)
139.35	1.644	-0.551	55805	Zachos et al. (2005)
139.36	1.660	-0.454	55807	Zachos et al. (2005)
139.37	1.677	-0.374	55809	Zachos et al. (2005)
139.38	1.643	-0.366	55810	Zachos et al. (2005)
139.39	1.538	-0.564	55812	Zachos et al. (2005)
139.40	1.541	-0.585	55813	Zachos et al. (2005)
139.42	1.555	-0.600	55816	Zachos et al. (2005)
139.43	1.500	-0.574	55818	Zachos et al. (2005)
139.44	1.489	-0.522	55820	Zachos et al. (2005)
139.46	1.502	-0.532	55823	Zachos et al. (2005)
139.47	1.484	-0.514	55824	Zachos et al. (2005)
139.48	1.473	-0.534	55826	Zachos et al. (2005)
139.49	1.488	-0.526	55827	Zachos et al. (2005)
139.50	1.433	-0.630	55829	Zachos et al. (2005)
139.61	1.396	-0.636	55846	Zachos et al. (2005)
139.62	1.413	-0.521	55848	Zachos et al. (2005)
139.63	1.349	-0.600	55850	Zachos et al. (2005)
139.64	1.318	-0.576	55851	Zachos et al. (2005)
139.66	1.321	-0.603	55854	Zachos et al. (2005)
139.67	1.323	-0.576	55856	Zachos et al. (2005)
139.68	1.327	-0.601	55857	Zachos et al. (2005)
139.69	1.360	-0.525	55859	Zachos et al. (2005)
139.71	1.303	-0.582	55862	Zachos et al. (2005)
139.72	1.237	-0.654	55864	Zachos et al. (2005)
139.74	1.181	-0.868	55865	Zachos et al. (2005)
139.75	1.117	-0.838	55867	Zachos et al. (2005)
139.77	0.782	-1.220	55870	Zachos et al. (2005)
139.78	0.662	-1.349	55872	Zachos et al. (2005)
139.80	0.610	-1.503	55875	Zachos et al. (2005)
139.81	0.271	-1.692	55876	Zachos et al. (2005)
139.82	0.187	-1.582	55878	Zachos et al. (2005)
139.83	0.265	-1.712	55880	Zachos et al. (2005)
139.84	0.299	-1.679	55881	Zachos et al. (2005)
139.85	0.284	-1.736	55883	Zachos et al. (2005)
139.86	0.227	-1.806	55884	Zachos et al. (2005)
139.87	0.383	-1.691	55886	Zachos et al. (2005)
139.88	0.256	-1.701	55887	Zachos et al. (2005)
139.89	0.306	-1.863	55889	Zachos et al. (2005)
139.90	0.232	-1.939	55891	Zachos et al. (2005)
139.91	0.189	-1.921	55892	Zachos et al. (2005)
139.92	0.234	-1.938	55894	Zachos et al. (2005)
139.93	0.456	-1.689	55895	Zachos et al. (2005)
139.94	0.451	-1.806	55897	Zachos et al. (2005)
139.95	0.922	-1.349	55898	Zachos et al. (2005)
139.96	0.807	-1.444	55900	Zachos et al. (2005)
139.97	0.436	-1.737	55902	Zachos et al. (2005)
139.98	0.527	-1.234	55903	Zachos et al. (2005)
139.99	0.731	-1.264	55905	Zachos et al. (2005)
140.15	2.248	-1.012	55932	Zachos et al. (2005)
140.17	2.233	-1.023	55935	Zachos et al. (2005)
140.19	2.160	-0.973	55938	Zachos et al. (2005)
140.21	2.127	-1.006	55941	Zachos et al. (2005)
140.22	2.138	-0.945	55942	Zachos et al. (2005)
140.23	2.199	-0.892	55944	Zachos et al. (2005)
140.24	2.191	-0.709	55946	Zachos et al. (2005)
140.26	2.186	-0.984	55949	Zachos et al. (2005)
140.27	2.244	-0.915	55950	Zachos et al. (2005)
140.28	2.266	-0.898	55952	Zachos et al. (2005)
140.29	2.214	-0.904	55953	Zachos et al. (2005)
140.31	2.303	-0.865	55956	Zachos et al. (2005)
140.32	2.318	-0.889	55958	Zachos et al. (2005)
140.33	2.326	-0.897	55960	Zachos et al. (2005)
140.34	2.319	-0.837	55961	Zachos et al. (2005)
140.37	2.304	-0.949	55966	Zachos et al. (2005)
140.40	2.360	-0.822	55970	Zachos et al. (2005)
140.45	2.519	-0.563	55978	Zachos et al. (2005)
140.55	2.439	-0.536	55994	Zachos et al. (2005)
140.60	2.381	-0.516	56001	Zachos et al. (2005)
140.65	2.297	-0.649	56009	Zachos et al. (2005)
140.70	2.224	-0.781	56017	Zachos et al. (2005)
140.78	2.270	-0.420	56029	Zachos et al. (2005)
140.79	2.260	-0.410	56031	Zachos et al. (2005)
140.80	2.240	-0.410	56032	Zachos et al. (2005)
140.81	2.280	-0.450	56034	Zachos et al. (2005)
140.82	2.260	-0.480	56036	Zachos et al. (2005)
140.83	2.270	-0.520	56037	Zachos et al. (2005)
140.84	2.230	-0.480	56039	Zachos et al. (2005)
140.85	2.190	-0.510	56040	Zachos et al. (2005)
140.86	2.240	-0.510	56041	Zachos et al. (2005)
140.87	2.350	-0.490	56042	Zachos et al. (2005)
140.93	2.246	-0.427	56047	Zachos et al. (2010)
140.96	2.464	-0.287	56050	Zachos et al. (2010)
140.99	2.470	-0.376	56053	Zachos et al. (2010)
141.02	2.453	-0.415	56056	Zachos et al. (2010)
141.05	2.292	-0.522	56059	Zachos et al. (2010)
141.08	2.382	-0.494	56062	Zachos et al. (2010)
141.11	2.347	-0.497	56064	Zachos et al. (2010)
141.14	2.462	-0.420	56067	Zachos et al. (2010)
141.17	2.475	-0.416	56070	Zachos et al. (2010)
141.20	2.438	-0.461	56073	Zachos et al. (2010)
141.23	2.434	-0.447	56076	Zachos et al. (2010)
141.26	2.449	-0.469	56079	Zachos et al. (2010)
141.29	2.441	-0.560	56082	Zachos et al. (2010)
141.32	2.431	-0.606	56085	Zachos et al. (2010)
141.35	2.532	-0.505	56087	Zachos et al. (2010)
141.38	2.443	-0.622	56090	Zachos et al. (2010)
141.41	2.517	-0.484	56093	Zachos et al. (2010)
141.44	2.480	-0.563	56096	Zachos et al. (2010)
141.47	2.482	-0.461	56099	Zachos et al. (2010)
141.50	2.483	-0.455	56102	Zachos et al. (2010)
141.53	2.454	-0.524	56105	Zachos et al. (2010)
141.56	2.400	-0.625	56107	Zachos et al. (2010)
141.59	2.437	-0.512	56110	Zachos et al. (2010)
141.62	2.517	-0.462	56113	Zachos et al. (2010)
141.65	2.468	-0.515	56116	Zachos et al. (2010)
141.68	2.547	-0.386	56119	Zachos et al. (2010)
141.71	2.444	-0.472	56122	Zachos et al. (2010)
141.74	2.449	-0.643	56125	Zachos et al. (2010)
141.77	2.431	-0.521	56128	Zachos et al. (2010)
141.80	2.392	-0.507	56130	Zachos et al. (2010)
141.86	2.444	-0.374	56136	Zachos et al. (2010)
141.89	2.442	-0.481	56139	Zachos et al. (2010)
141.92	2.452	-0.394	56142	Zachos et al. (2010)
141.95	2.434	-0.478	56144	Zachos et al. (2010)
141.98	2.489	-0.461	56147	Zachos et al. (2010)
142.01	2.583	-0.384	56150	Zachos et al. (2010)
142.04	2.568	-0.418	56152	Zachos et al. (2010)
142.07	2.661	-0.318	56155	Zachos et al. (2010)
142.10	2.698	-0.327	56158	Zachos et al. (2010)
142.13	2.640	-0.419	56160	Zachos et al. (2010)
142.16	2.545	-0.431	56163	Zachos et al. (2010)
142.19	2.665	-0.379	56165	Zachos et al. (2010)
142.22	2.648	-0.487	56168	Zachos et al. (2010)
142.25	2.708	-0.320	56171	Zachos et al. (2010)
142.28	2.730	-0.447	56173	Zachos et al. (2010)
142.31	2.688	-0.404	56176	Zachos et al. (2010)
142.34	2.691	-0.558	56178	Zachos et al. (2010)
142.37	2.766	-0.402	56181	Zachos et al. (2010)
142.40	2.750	-0.398	56184	Zachos et al. (2010)
142.43	2.741	-0.387	56186	Zachos et al. (2010)
142.46	2.709	-0.503	56189	Zachos et al. (2010)
142.49	2.839	-0.314	56191	Zachos et al. (2010)
142.52	2.783	-0.255	56194	Zachos et al. (2010)
142.55	2.824	-0.310	56197	Zachos et al. (2010)
142.58	2.841	-0.348	56199	Zachos et al. (2010)
142.61	2.871	-0.349	56202	Zachos et al. (2010)
142.64	2.815	-0.277	56205	Zachos et al. (2010)
142.67	2.904	-0.298	56207	Zachos et al. (2010)
142.70	2.790	-0.496	56210	Zachos et al. (2010)
142.73	2.833	-0.384	56212	Zachos et al. (2010)
142.76	2.912	-0.350	56215	Zachos et al. (2010)
142.79	2.937	-0.419	56218	Zachos et al. (2010)
142.82	2.894	-0.409	56220	Zachos et al. (2010)
142.85	2.933	-0.389	56223	Zachos et al. (2010)
142.88	2.957	-0.343	56225	Zachos et al. (2010)
142.91	2.943	-0.358	56228	Zachos et al. (2010)
142.94	2.942	-0.328	56231	Zachos et al. (2010)
142.97	2.959	-0.341	56233	Zachos et al. (2010)
143.00	2.938	-0.369	56236	Zachos et al. (2010)
143.03	2.913	-0.393	56238	Zachos et al. (2010)
143.06	2.854	-0.527	56241	Zachos et al. (2010)
143.09	2.840	-0.513	56244	Zachos et al. (2010)
143.12	2.857	-0.455	56246	Zachos et al. (2010)
143.15	2.901	-0.452	56249	Zachos et al. (2010)
143.18	2.854	-0.568	56252	Zachos et al. (2010)
143.21	2.861	-0.539	56254	Zachos et al. (2010)
143.24	2.915	-0.497	56257	Zachos et al. (2010)
143.27	2.959	-0.471	56259	Zachos et al. (2010)
143.30	2.973	-0.415	56262	Zachos et al. (2010)
143.33	2.960	-0.501	56265	Zachos et al. (2010)
143.36	2.954	-0.441	56267	Zachos et al. (2010)
143.39	2.961	-0.549	56270	Zachos et al. (2010)
143.42	2.937	-0.562	56272	Zachos et al. (2010)
143.45	2.964	-0.481	56275	Zachos et al. (2010)
143.48	2.938	-0.468	56278	Zachos et al. (2010)
143.51	2.940	-0.502	56280	Zachos et al. (2010)
143.54	2.925	-0.485	56283	Zachos et al. (2010)
143.57	2.923	-0.477	56285	Zachos et al. (2010)
143.60	2.925	-0.522	56288	Zachos et al. (2010)
143.63	2.921	-0.565	56291	Zachos et al. (2010)
143.66	2.901	-0.543	56293	Zachos et al. (2010)
143.69	2.879	-0.610	56296	Zachos et al. (2010)
143.72	2.915	-0.514	56299	Zachos et al. (2010)
143.75	2.906	-0.519	56301	Zachos et al. (2010)
143.78	2.925	-0.491	56304	Zachos et al. (2010)
143.81	2.875	-0.536	56306	Zachos et al. (2010)
143.84	2.954	-0.580	56309	Zachos et al. (2010)
143.87	2.971	-0.463	56312	Zachos et al. (2010)
143.90	2.953	-0.542	56314	Zachos et al. (2010)
143.93	2.984	-0.590	56317	Zachos et al. (2010)
143.96	2.968	-0.582	56319	Zachos et al. (2010)
143.99	2.930	-0.643	56322	Zachos et al. (2010)
144.02	2.900	-0.612	56325	Zachos et al. (2010)
144.05	3.010	-0.470	56327	Zachos et al. (2010)
144.17	3.090	-0.406	56338	Zachos et al. (2010)
144.23	3.016	-0.421	56343	Zachos et al. (2010)
144.26	2.856	-0.685	56345	Zachos et al. (2010)
144.29	2.893	-0.363	56348	Zachos et al. (2010)
144.32	2.947	-0.339	56351	Zachos et al. (2010)
144.35	2.893	-0.437	56353	Zachos et al. (2010)
144.38	2.885	-0.380	56356	Zachos et al. (2010)
144.41	2.840	-0.412	56359	Zachos et al. (2010)
144.44	2.856	-0.398	56361	Zachos et al. (2010)
144.47	2.832	-0.395	56364	Zachos et al. (2010)
144.50	2.869	-0.415	56366	Zachos et al. (2010)
144.53	2.772	-0.376	56369	Zachos et al. (2010)
144.56	2.736	-0.439	56372	Zachos et al. (2010)
144.59	2.657	-0.582	56374	Zachos et al. (2010)
144.62	2.668	-0.607	56376	Zachos et al. (2010)
144.65	2.643	-0.736	56379	Zachos et al. (2010)
144.68	2.891	-0.522	56381	Zachos et al. (2010)
144.71	2.982	-0.428	56383	Zachos et al. (2010)
144.73	3.122	-0.314	56385	Zachos et al. (2010)
144.74	3.073	-0.376	56385	Zachos et al. (2010)
144.77	3.054	-0.269	56387	Zachos et al. (2010)
144.77	3.183	-0.222	56387	Zachos et al. (2010)
144.80	3.182	-0.128	56390	Zachos et al. (2010)
144.83	3.149	-0.063	56392	Zachos et al. (2010)
144.86	3.130	-0.148	56394	Zachos et al. (2010)
144.89	3.107	-0.199	56396	Zachos et al. (2010)
144.92	3.112	-0.327	56398	Zachos et al. (2010)
144.95	3.091	-0.283	56401	Zachos et al. (2010)
144.98	3.099	-0.176	56403	Zachos et al. (2010)
145.01	3.068	-0.253	56405	Zachos et al. (2010)
145.04	3.121	-0.311	56407	Zachos et al. (2010)
145.07	3.045	-0.283	56410	Zachos et al. (2010)
145.10	3.100	-0.232	56412	Zachos et al. (2010)
145.13	3.085	-0.256	56414	Zachos et al. (2010)
145.16	3.000	-0.364	56416	Zachos et al. (2010)
145.19	3.019	-0.415	56418	Zachos et al. (2010)
145.22	3.019	-0.337	56421	Zachos et al. (2010)
145.25	2.998	-0.300	56423	Zachos et al. (2010)
145.28	3.036	-0.291	56425	Zachos et al. (2010)
145.31	3.078	-0.224	56427	Zachos et al. (2010)
145.34	3.077	-0.224	56429	Zachos et al. (2010)
145.37	2.981	-0.330	56432	Zachos et al. (2010)
145.40	3.015	-0.276	56434	Zachos et al. (2010)
145.43	3.008	-0.310	56436	Zachos et al. (2010)
145.46	3.029	-0.366	56438	Zachos et al. (2010)
145.49	2.971	-0.452	56440	Zachos et al. (2010)
145.52	2.910	-0.387	56443	Zachos et al. (2010)
