/* DATA DESCRIPTION:
Citation:	Zachos, James C; McCarren, Heather K; Murphy, Brandon; Röhl, Ursula; Westerhold, Thomas (2010): (Figure 2) Stable carbon and oxygen isotope records of ODP Site 208-1262 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.756583, 
	Supplement to: Zachos, JC et al. (2010): Tempo and scale of late Paleocene and early Eocene carbon isotope cycles: Implications for the origin of hyperthermals. Earth and Planetary Science Letters, 299(1-2), 242-249, https://doi.org/10.1016/j.epsl.2010.09.004
Abstract:	The upper Paleocene and lower Eocene are marked by several prominent (> 1 per mill) carbon isotope (d13C) excursions (CIE) that coincide with transient global warmings, or thermal maxima, including the Paleocene-Eocene Thermal Maximum (PETM). The CIE, which are recorded mainly in marine sedimentary sequences, have also been identified in continental sequences, occurred episodically, and yet appear to be paced or triggered by orbital forcing. To constrain the timing and scale of the CIE relative to long-term baseline variability, we have constructed a 4.52 million year (myr) long, high-resolution (~ 3 kyr) bulk sediment carbon isotope record spanning the lower Eocene to upper Paleocene (C25r-C24n) from a pelagic sediment section recovered at ODP Site 1262 in the southeast Atlantic. This section, which was orbitally-tuned utilizing high-resolution core log physical property and geochemical records, is the most stratigraphically complete upper Paleocene to lower Eocene sequence recovered to date. Time-series analysis of the carbon isotope record along with a high-resolution Fe intensity record obtained by XRF core scanner reveal cyclicity with variance concentrated primarily in the precession (21 kyr) and eccentricity bands (100 and 400-kyr) throughout the upper Paleocene-lower Eocene. In general, minima in d13C correspond with peaks in Fe (i.e., carbonate dissolution), both of which appear to be in phase with maxima in eccentricity. This covariance is consistent with excess oceanic uptake of isotopically depleted carbon resulting in lower carbonate saturation during periods of high eccentricity. This relationship includes all late Paleocene and early Eocene CIE confirming pacing by orbital forcing. The lone exception is the PETM, which appears to be out of phase with the 400-kyr cycle, though possibly in phase with the 100-kyr cycle, reinforcing the notion that a mechanism other than orbital forcing and/or an additional source of carbon is required to account for the occurrence and unusual scale of this event.
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: https://www.marum.de/en/)
	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -27.185833 * LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00
	MINIMUM DEPTH, sediment/rock: 96.27 m * MAXIMUM DEPTH, sediment/rock: 142.65 m
Event(s):	208-1262 * LATITUDE: -27.185833 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00 * ELEVATION: -4755.4 m * Penetration: 583.9 m * Recovery: 502.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 54 cores; 493.9 m cored; 90 m drilled; 101.7 % recovery
Comment:	The isotope records are composites of the splice from the A and B holes of Site 1262, and include published data for the PETM and ETM-2 (Lourens et al., 2005; Zachos et al., 2005).
	See also Westerhold et al. (2007) doi:10.1594/PANGAEA.603177
	Depth, sediment are meters below seafloor (mbsf)
Parameter(s):	Sample code/label (Sample label) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: Intercore correlation
	Age, relative [ka] (Age rel) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu)
	Comment (Comment) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * COMMENT: Hole
	δ13C, carbonate [‰ PDB] (δ13C carb) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: Mass spectrometry (MS)
	δ18O, carbonate [‰ PDB] (δ18O carb) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: Mass spectrometry (MS)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10864 data points
*/
Sample label	Depth sed [m]	Depth comp [mcd]	Age rel [ka]	Comment	δ13C carb [‰ PDB]	δ18O carb [‰ PDB]
208-1262A-11H-3,139-140	99.39	115.44	2026	A	1.47	-0.46
208-1262A-11H-3,142-143	99.42	115.47	2022	A	1.55	-0.41
208-1262A-11H-3,145-146	99.45	115.50	2019	A	1.61	-0.19
208-1262A-11H-4,4-5	99.54	115.59	2011	A	1.53	-0.33
208-1262A-11H-4,10-11	99.60	115.65	2004	A	1.44	-0.36
208-1262A-11H-4,16-17	99.66	115.71	1998	A	1.42	-0.38
208-1262A-11H-4,19-20	99.69	115.74	1996	A	1.46	-0.29
208-1262A-11H-4,22-23	99.72	115.77	1993	A	1.46	-0.31
208-1262A-11H-4,25-26	99.75	115.80	1990	A	1.47	-0.33
208-1262A-11H-4,28-29	99.78	115.83	1988	A	1.48	-0.42
208-1262A-11H-4,31-32	99.81	115.86	1985	A	1.56	-0.37
208-1262A-11H-4,34-35	99.84	115.89	1982	A	1.59	-0.46
208-1262A-11H-4,37-38	99.87	115.92	1980	A	1.65	-0.37
208-1262A-11H-4,40-41	99.90	115.95	1977	A	1.45	-0.38
208-1262A-11H-4,43-44	99.93	115.98	1973	A	1.42	-0.32
208-1262A-11H-4,46-47	99.96	116.01	1969	A	1.40	-0.32
208-1262A-11H-4,49-50	99.99	116.04	1965	A	1.27	-0.42
208-1262A-11H-4,52-53	100.02	116.07	1960	A	1.28	-0.42
208-1262A-11H-4,55-56	100.05	116.10	1956	A	1.17	-0.62
208-1262A-11H-4,58-59	100.08	116.13	1953	A	1.04	-0.86
208-1262A-11H-4,61-62	100.11	116.16	1949	A	1.14	-0.80
208-1262A-11H-4,64-65	100.14	116.19	1946	A	0.97	-0.97
208-1262A-11H-4,67-68	100.17	116.22	1943	A	0.88	-0.93
208-1262A-11H-4,70-71	100.20	116.25	1938	A	0.93	-0.94
208-1262A-11H-4,76-77	100.26	116.31	1931	A	1.13	-0.84
208-1262A-11H-4,79-80	100.29	116.34	1928	A	1.17	-0.66
208-1262A-11H-4,82-83	100.32	116.37	1924	A	1.12	-0.82
208-1262A-11H-4,85-86	100.35	116.40	1921	A	1.30	-0.73
208-1262A-11H-4,88-89	100.38	116.43	1918	A	1.34	-0.70
208-1262A-11H-4,91-92	100.41	116.46	1915	A	1.46	-0.36
208-1262A-11H-4,94-95	100.44	116.49	1910	A	1.46	-0.40
208-1262A-11H-4,97-98	100.47	116.52	1906	A	1.42	-0.31
208-1262A-11H-4,100-101	100.50	116.55	1901	A	1.32	-0.51
208-1262A-11H-4,103-104	100.53	116.58	1897	A	1.40	-0.37
208-1262A-11H-4,106-107	100.56	116.61	1893	A	1.33	-0.52
208-1262A-11H-4,109-110	100.59	116.64	1888	A	1.35	-0.46
208-1262A-11H-4,110-111	100.60	116.65	1887	A [Lourens et al., 2005]	1.36	-0.54
208-1262A-11H-4,111-112	100.61	116.66	1885	A [Lourens et al., 2005]	1.38	-0.50
208-1262A-11H-4,112-113	100.62	116.67	1884	A	1.40	-0.55
208-1262A-11H-4,112-113	100.62	116.67	1884	A [Lourens et al., 2005]	1.40	-0.50
208-1262A-11H-4,113-114	100.63	116.68	1883	A [Lourens et al., 2005]	1.37	-0.45
208-1262A-11H-4,114-115	100.64	116.69	1881	A [Lourens et al., 2005]	1.43	-0.49
208-1262A-11H-4,115-116	100.65	116.70	1880	A	1.38	-0.42
208-1262A-11H-4,115-116	100.65	116.70	1880	A [Lourens et al., 2005]	1.44	-0.47
208-1262A-11H-4,116-117	100.66	116.71	1878	A [Lourens et al., 2005]	1.47	-0.44
208-1262A-11H-4,117-118	100.67	116.72	1877	A [Lourens et al., 2005]	1.40	-0.48
208-1262A-11H-4,118-119	100.68	116.73	1875	A	1.46	-0.44
208-1262A-11H-4,118-119	100.68	116.73	1875	A [Lourens et al., 2005]	1.43	-0.43
208-1262A-11H-4,119-120	100.69	116.74	1874	A [Lourens et al., 2005]	1.44	-0.42
208-1262A-11H-4,120-121	100.70	116.75	1872	A [Lourens et al., 2005]	1.44	-0.40
208-1262A-11H-4,121-122	100.71	116.76	1871	A	1.41	-0.44
208-1262A-11H-4,121-122	100.71	116.76	1871	A [Lourens et al., 2005]	1.46	-0.38
208-1262A-11H-4,122-123	100.72	116.77	1871	A [Lourens et al., 2005]	1.44	-0.46
208-1262A-11H-4,123-124	100.73	116.78	1870	A [Lourens et al., 2005]	1.44	-0.45
208-1262A-11H-4,124-125	100.74	116.79	1869	A	1.43	-0.39
208-1262A-11H-4,124-125	100.74	116.79	1869	A [Lourens et al., 2005]	1.45	-0.37
208-1262A-11H-4,125-126	100.75	116.80	1868	A [Lourens et al., 2005]	1.43	-0.37
208-1262A-11H-4,126-127	100.76	116.81	1867	A [Lourens et al., 2005]	1.37	-0.50
208-1262A-11H-4,127-128	100.77	116.82	1866	A	1.42	-0.38
208-1262A-11H-4,127-128	100.77	116.82	1866	A [Lourens et al., 2005]	1.41	-0.23
208-1262A-11H-4,128-129	100.78	116.83	1866	A [Lourens et al., 2005]	1.41	-0.36
208-1262A-11H-4,129-130	100.79	116.84	1865	A [Lourens et al., 2005]	1.41	-0.35
208-1262A-11H-4,130-131	100.80	116.85	1864	A	1.38	-0.38
208-1262A-11H-4,130-131	100.80	116.85	1864	A [Lourens et al., 2005]	1.41	-0.41
208-1262A-11H-4,131-132	100.81	116.86	1864	A [Lourens et al., 2005]	1.39	-0.37
208-1262A-11H-4,132-133	100.82	116.87	1863	A [Lourens et al., 2005]	1.36	-0.37
208-1262A-11H-4,133-134	100.83	116.88	1862	A	1.32	-0.37
208-1262A-11H-4,133-134	100.83	116.88	1862	A [Lourens et al., 2005]	1.35	-0.41
208-1262A-11H-4,134-135	100.84	116.89	1861	A [Lourens et al., 2005]	1.30	-0.38
208-1262A-11H-4,135-136	100.85	116.90	1861	A [Lourens et al., 2005]	1.29	-0.39
208-1262A-11H-4,136-137	100.86	116.91	1860	A	1.24	-0.55
208-1262A-11H-4,136-137	100.86	116.91	1860	A [Lourens et al., 2005]	1.27	-0.43
208-1262A-11H-4,137-138	100.87	116.92	1859	A [Lourens et al., 2005]	1.28	-0.41
208-1262A-11H-4,138-139	100.88	116.93	1859	A [Lourens et al., 2005]	1.26	-0.38
208-1262A-11H-4,139-140	100.89	116.94	1858	A	1.22	-0.43
208-1262A-11H-4,139-140	100.89	116.94	1858	A [Lourens et al., 2005]	1.23	-0.43
208-1262A-11H-4,140-141	100.90	116.95	1857	A [Lourens et al., 2005]	1.19	-0.46
208-1262A-11H-4,141-142	100.91	116.96	1856	A [Lourens et al., 2005]	1.21	-0.47
208-1262A-11H-4,142-143	100.92	116.97	1856	A	1.09	-0.57
208-1262A-11H-4,142-143	100.92	116.97	1856	A [Lourens et al., 2005]	1.18	-0.47
208-1262A-11H-4,143-144	100.93	116.98	1855	A [Lourens et al., 2005]	1.12	-0.56
208-1262A-11H-4,144-145	100.94	116.99	1854	A [Lourens et al., 2005]	1.08	-0.50
208-1262A-11H-4,145-146	100.95	117.00	1854	A	1.11	-0.59
208-1262A-11H-4,145-146	100.95	117.00	1854	A [Lourens et al., 2005]	1.05	-0.60
208-1262A-11H-4,146-147	100.96	117.01	1853	A [Lourens et al., 2005]	1.06	-0.64
208-1262A-11H-4,147-148	100.97	117.02	1852	A [Lourens et al., 2005]	1.03	-0.74
208-1262A-11H-4,148-149	100.98	117.03	1852	A	1.00	-0.72
208-1262A-11H-4,148-149	100.98	117.03	1852	A [Lourens et al., 2005]	0.95	-0.84
208-1262A-11H-4,149-150	100.99	117.04	1851	A [Lourens et al., 2005]	0.97	-0.78
208-1262A-11H-5,0-1	101.00	117.05	1849	A [Lourens et al., 2005]	0.90	-0.85
208-1262A-11H-5,1-1.5	101.01	117.06	1847	A [Lourens et al., 2005]	0.91	-0.92
208-1262A-11H-5,1.5-2	101.02	117.06	1847	A [Lourens et al., 2005]	0.87	-0.90
208-1262A-11H-5,2-2.5	101.02	117.07	1846	A [Lourens et al., 2005]	0.89	-0.83
208-1262A-11H-5,2.5-3	101.02	117.08	1845	A [Lourens et al., 2005]	0.84	-0.92
208-1262A-11H-5,3-3.5	101.03	117.08	1844	A [Lourens et al., 2005]	0.83	-0.80
208-1262A-11H-5,3.5-4	101.04	117.08	1843	A [Lourens et al., 2005]	0.79	-0.84
208-1262A-11H-5,4-4.5	101.04	117.09	1843	A [Lourens et al., 2005]	0.86	-0.86
208-1262A-11H-5,4.5-5	101.04	117.10	1842	A [Lourens et al., 2005]	0.76	-0.96
208-1262A-11H-5,5-5.5	101.05	117.10	1841	A [Lourens et al., 2005]	0.68	-0.86
208-1262A-11H-5,5.5-6	101.06	117.10	1840	A [Lourens et al., 2005]	0.64	-0.96
208-1262A-11H-5,6-6.5	101.06	117.11	1839	A [Lourens et al., 2005]	0.62	-0.93
208-1262A-11H-5,6.5-7	101.06	117.12	1839	A [Lourens et al., 2005]	0.75	-1.01
208-1262A-11H-5,7-7.5	101.07	117.12	1838	A [Lourens et al., 2005]	0.89	-0.90
208-1262A-11H-5,7.5-8	101.08	117.12	1837	A [Lourens et al., 2005]	0.77	-0.95
208-1262A-11H-5,8-8.5	101.08	117.13	1836	A [Lourens et al., 2005]	0.73	-0.93
208-1262A-11H-5,8.5-9	101.08	117.14	1836	A [Lourens et al., 2005]	0.72	-0.98
208-1262A-11H-5,9-9.5	101.09	117.14	1835	A [Lourens et al., 2005]	0.69	-0.98
208-1262A-11H-5,9.5-10	101.10	117.14	1834	A [Lourens et al., 2005]	0.69	-0.91
208-1262A-11H-5,10-10.5	101.10	117.15	1833	A [Lourens et al., 2005]	0.83	-0.76
208-1262A-11H-5,10.5-11	101.10	117.16	1832	A [Lourens et al., 2005]	0.62	-0.86
208-1262A-11H-5,11-11.5	101.11	117.16	1832	A [Lourens et al., 2005]	0.56	-0.88
208-1262A-11H-5,11.5-12	101.12	117.16	1831	A [Lourens et al., 2005]	0.63	-0.87
208-1262A-11H-5,12-12.5	101.12	117.17	1830	A [Lourens et al., 2005]	0.66	-0.80
208-1262A-11H-5,12.5-13	101.12	117.18	1829	A [Lourens et al., 2005]	0.62	-0.94
208-1262A-11H-5,13-13.5	101.13	117.18	1828	A [Lourens et al., 2005]	0.74	-0.88
208-1262A-11H-5,13.5-14	101.14	117.18	1827	A [Lourens et al., 2005]	0.92	-0.79
208-1262A-11H-5,14-14.5	101.14	117.19	1825	A [Lourens et al., 2005]	0.82	-0.84
208-1262A-11H-5,14.5-15	101.14	117.20	1824	A [Lourens et al., 2005]	1.04	-0.77
208-1262A-11H-5,15-15.5	101.15	117.20	1823	A [Lourens et al., 2005]	0.97	-0.88
208-1262A-11H-5,15.5-16	101.16	117.20	1822	A [Lourens et al., 2005]	1.25	-1.10
208-1262A-11H-5,16-16.5	101.16	117.21	1821	A [Lourens et al., 2005]	1.46	-1.00
208-1262A-11H-5,16.5-17	101.16	117.22	1820	A [Lourens et al., 2005]	1.42	-0.77
208-1262A-11H-5,17-17.5	101.17	117.22	1818	A [Lourens et al., 2005]	1.30	-0.60
208-1262A-11H-5,17.5-18	101.18	117.22	1817	A [Lourens et al., 2005]	1.14	-0.72
208-1262A-11H-5,18-18.5	101.18	117.23	1816	A [Lourens et al., 2005]	1.13	-0.71
208-1262A-11H-5,18.5-19	101.18	117.24	1815	A [Lourens et al., 2005]	1.35	-0.75
208-1262A-11H-5,19-19.5	101.19	117.24	1814	A [Lourens et al., 2005]	1.38	-0.81
208-1262A-11H-5,19.5-20	101.20	117.24	1813	A [Lourens et al., 2005]	1.30	-0.78
208-1262A-11H-5,20-20.5	101.20	117.25	1811	A [Lourens et al., 2005]	1.34	-0.88
208-1262A-11H-5,20.5-21	101.20	117.26	1810	A [Lourens et al., 2005]	1.31	-0.89
208-1262A-11H-5,21-21.5	101.21	117.26	1809	A [Lourens et al., 2005]	1.34	-0.80
208-1262A-11H-5,21.5-22	101.22	117.26	1808	A [Lourens et al., 2005]	1.32	-0.80
208-1262A-11H-5,22-22.5	101.22	117.27	1807	A [Lourens et al., 2005]	1.31	-0.80
208-1262A-11H-5,22.5-23	101.22	117.28	1806	A [Lourens et al., 2005]	1.51	-0.70
208-1262A-11H-5,23-23.5	101.23	117.28	1804	A [Lourens et al., 2005]	1.36	-0.85
208-1262A-11H-5,23.5-24	101.24	117.28	1803	A [Lourens et al., 2005]	1.35	-0.75
208-1262A-11H-5,24-24.5	101.24	117.29	1802	A [Lourens et al., 2005]	1.35	-0.70
208-1262A-11H-5,24.5-25	101.24	117.30	1801	A [Lourens et al., 2005]	1.32	-0.75
208-1262A-11H-5,25-25.5	101.25	117.30	1800	A [Lourens et al., 2005]	1.37	-0.63
208-1262A-11H-5,25.5-26	101.26	117.30	1799	A [Lourens et al., 2005]	1.38	-0.69
208-1262A-11H-5,26-26.5	101.26	117.31	1797	A [Lourens et al., 2005]	1.40	-0.63
208-1262A-11H-5,26.5-27	101.26	117.32	1796	A [Lourens et al., 2005]	1.41	-0.61
208-1262A-11H-5,27-27.5	101.27	117.32	1795	A [Lourens et al., 2005]	1.40	-0.63
208-1262A-11H-5,27.5-28	101.28	117.32	1794	A [Lourens et al., 2005]	1.38	-0.64
208-1262A-11H-5,28-28.5	101.28	117.33	1793	A [Lourens et al., 2005]	1.47	-0.64
208-1262A-11H-5,28.5-29	101.28	117.34	1792	A [Lourens et al., 2005]	1.46	-0.63
208-1262A-11H-5,29-29.5	101.29	117.34	1790	A [Lourens et al., 2005]	1.58	-0.56
208-1262A-11H-5,29.5-30	101.30	117.34	1789	A [Lourens et al., 2005]	1.53	-0.57
208-1262A-11H-5,30-31	101.30	117.35	1788	A [Lourens et al., 2005]	1.53	-0.60
208-1262A-11H-5,31-32	101.31	117.36	1787	A [Lourens et al., 2005]	1.59	-0.47
208-1262A-11H-5,32-33	101.32	117.37	1787	A [Lourens et al., 2005]	1.58	-0.44
208-1262A-11H-5,33-34	101.33	117.38	1786	A [Lourens et al., 2005]	1.52	-0.48
208-1262A-11H-5,34-35	101.34	117.39	1785	A [Lourens et al., 2005]	1.45	-0.49
208-1262A-11H-5,35-36	101.35	117.40	1785	A [Lourens et al., 2005]	1.54	-0.42
208-1262A-11H-5,36-37	101.36	117.41	1784	A [Lourens et al., 2005]	1.55	-0.48
208-1262A-11H-5,37-38	101.37	117.42	1784	A [Lourens et al., 2005]	1.49	-0.45
208-1262A-11H-5,38-39	101.38	117.43	1783	A [Lourens et al., 2005]	1.53	-0.41
208-1262A-11H-5,39-40	101.39	117.44	1782	A [Lourens et al., 2005]	1.51	-0.45
208-1262A-11H-5,40-41	101.40	117.45	1782	A [Lourens et al., 2005]	1.49	-0.49
208-1262A-11H-5,41-42	101.41	117.46	1781	A [Lourens et al., 2005]	1.50	-0.54
208-1262A-11H-5,42-43	101.42	117.47	1780	A [Lourens et al., 2005]	1.47	-0.76
208-1262A-11H-5,43-44	101.43	117.48	1780	A [Lourens et al., 2005]	1.50	-0.53
208-1262A-11H-5,44-45	101.44	117.49	1779	A [Lourens et al., 2005]	1.46	-0.56
208-1262A-11H-5,45-46	101.45	117.50	1778	A [Lourens et al., 2005]	1.50	-0.51
208-1262A-11H-5,46-47	101.46	117.51	1778	A [Lourens et al., 2005]	1.46	-0.54
208-1262A-11H-5,47-48	101.47	117.52	1777	A [Lourens et al., 2005]	1.48	-0.52
208-1262A-11H-5,48-49	101.48	117.53	1777	A [Lourens et al., 2005]	1.50	-0.46
208-1262A-11H-5,49-50	101.49	117.54	1776	A [Lourens et al., 2005]	1.54	-0.51
208-1262B-13H-2,1-2	106.58	117.55	1775	B	1.50	-0.43
208-1262B-13H-2,7-8	106.64	117.61	1771	B	1.56	-0.40
208-1262B-13H-2,10-11	106.67	117.64	1770	B	1.62	-0.41
208-1262B-13H-2,13-14	106.70	117.67	1768	B	1.62	-0.46
208-1262B-13H-2,16-17	106.73	117.70	1766	B	1.67	-0.39
208-1262B-13H-2,19-20	106.76	117.73	1764	B	1.70	-0.41
208-1262B-13H-2,22-23	106.79	117.76	1762	B	1.59	-0.43
208-1262B-13H-2,25-26	106.82	117.79	1760	B	1.54	-0.42
208-1262B-13H-2,28-29	106.85	117.82	1758	B	1.53	-0.41
208-1262B-13H-2,31-32	106.88	117.85	1756	B	1.55	-0.43
208-1262B-13H-2,34-35	106.91	117.88	1754	B	1.46	-0.42
208-1262B-13H-2,37-38	106.94	117.91	1752	B	1.49	-0.39
208-1262B-13H-2,40-41	106.97	117.94	1750	B	1.49	-0.33
208-1262B-13H-2,43-44	107.00	117.97	1749	B	1.52	-0.37
208-1262B-13H-2,46-47	107.03	118.00	1747	B	1.48	-0.44
208-1262B-13H-2,49-50	107.06	118.03	1745	B	1.43	-0.44
208-1262B-13H-2,52-53	107.09	118.06	1742	B	1.39	-0.51
208-1262B-13H-2,55-56	107.12	118.09	1740	B	1.50	-0.48
208-1262B-13H-2,58-59	107.15	118.12	1738	B	1.59	-0.26
208-1262B-13H-2,61-62	107.18	118.15	1736	B	1.58	-0.27
208-1262B-13H-2,64-65	107.21	118.18	1734	B	1.28	-0.60
208-1262B-13H-2,67-68	107.24	118.21	1731	B	1.31	-0.55
208-1262B-13H-2,70-71	107.27	118.24	1729	B	1.37	-0.47
208-1262B-13H-2,73-74	107.30	118.27	1727	B	1.42	-0.46
208-1262B-13H-2,76-77	107.33	118.30	1725	B	1.44	-0.35
208-1262B-13H-2,79-80	107.36	118.33	1723	B	1.44	-0.34
208-1262B-13H-2,82-83	107.39	118.36	1720	B	1.36	-0.46
208-1262B-13H-2,85-86	107.42	118.39	1718	B	1.40	-0.48
208-1262B-13H-2,88-89	107.45	118.42	1716	B	1.40	-0.49
208-1262B-13H-2,91-92	107.48	118.45	1714	B	1.40	-0.56
208-1262B-13H-2,94-95	107.51	118.48	1711	B	1.45	-0.54
208-1262B-13H-2,97-98	107.54	118.51	1709	B	1.52	-0.30
208-1262B-13H-2,100-101	107.57	118.54	1707	B	1.53	-0.37
208-1262B-13H-2,103-104	107.60	118.57	1705	B	1.46	-0.53
208-1262B-13H-2,106-107	107.63	118.60	1702	B	1.42	-0.40
208-1262B-13H-2,109-110	107.66	118.63	1700	B	1.46	-0.45
208-1262B-13H-2,112-113	107.69	118.66	1698	B	1.50	-0.45
208-1262B-13H-2,115-116	107.72	118.69	1696	B	1.56	-0.45
208-1262B-13H-2,118-119	107.75	118.72	1693	B	1.55	-0.43
208-1262B-13H-2,121-122	107.78	118.75	1691	B	1.57	-0.33
208-1262B-13H-2,124-125	107.81	118.78	1689	B	1.53	-0.39
208-1262B-13H-2,127-128	107.84	118.81	1687	B	1.49	-0.36
208-1262B-13H-2,130-131	107.87	118.84	1684	B	1.53	-0.44
208-1262B-13H-2,133-134	107.90	118.87	1682	B	1.48	-0.48
208-1262B-13H-2,136-137	107.93	118.90	1680	B	1.50	-0.39
208-1262B-13H-2,139-140	107.96	118.93	1678	B	1.45	-0.35
208-1262B-13H-2,142-143	107.99	118.96	1676	B	1.51	-0.43
208-1262B-13H-2,145-146	108.02	118.99	1674	B	1.53	-0.31
208-1262B-13H-2,148-149	108.05	119.02	1671	B	1.52	-0.37
208-1262B-13H-3,1-2	108.08	119.05	1669	B	1.55	-0.28
208-1262B-13H-3,4-5	108.11	119.08	1667	B	1.57	-0.29
208-1262B-13H-3,7-8	108.14	119.11	1665	B	1.58	-0.23
208-1262B-13H-3,10-11	108.17	119.14	1663	B	1.58	-0.28
208-1262B-13H-3,13-14	108.20	119.17	1661	B	1.54	-0.27
208-1262B-13H-3,16-17	108.23	119.20	1658	B	1.53	-0.23
208-1262B-13H-3,19-20	108.26	119.23	1656	B	1.49	-0.36
208-1262B-13H-3,22-23	108.29	119.26	1654	B	1.44	-0.35
208-1262B-13H-3,25-26	108.32	119.29	1652	B	1.44	-0.42
208-1262B-13H-3,28-29	108.35	119.32	1650	B	1.46	-0.42
208-1262B-13H-3,31-32	108.38	119.35	1648	B	1.45	-0.46
208-1262B-13H-3,34-35	108.41	119.38	1645	B	1.52	-0.44
208-1262B-13H-3,37-38	108.44	119.41	1643	B	1.51	-0.51
208-1262B-13H-3,40-41	108.47	119.44	1641	B	1.50	-0.51
208-1262B-13H-3,43-44	108.50	119.47	1639	B	1.48	-0.51
208-1262B-13H-3,46-47	108.53	119.50	1637	B	1.50	-0.48
208-1262B-13H-3,49-50	108.56	119.53	1635	B	1.52	-0.47
208-1262B-13H-3,52-53	108.59	119.56	1633	B	1.55	-0.48
208-1262B-13H-3,55-56	108.62	119.59	1631	B	1.55	-0.41
208-1262B-13H-3,58-59	108.65	119.62	1629	B	1.58	-0.40
208-1262B-13H-3,61-62	108.68	119.65	1627	B	1.56	-0.47
208-1262B-13H-3,64-65	108.71	119.68	1625	B	1.59	-0.39
208-1262B-13H-3,67-68	108.74	119.71	1623	B	1.62	-0.42
208-1262B-13H-3,70-71	108.77	119.74	1621	B	1.60	-0.44
208-1262B-13H-3,73-74	108.80	119.77	1619	B	1.57	-0.43
208-1262B-13H-3,76-77	108.83	119.80	1617	B	1.55	-0.42
208-1262B-13H-3,79-80	108.86	119.83	1615	B	1.58	-0.46
208-1262B-13H-3,82-83	108.89	119.86	1613	B	1.53	-0.49
208-1262B-13H-3,85-86	108.92	119.89	1611	B	1.50	-0.55
208-1262B-13H-3,88-89	108.95	119.92	1609	B	1.49	-0.62
208-1262B-13H-3,91-92	108.98	119.95	1607	B	1.41	-0.35
208-1262B-13H-3,94-95	109.01	119.98	1605	B	1.52	-0.43
208-1262B-13H-3,97-98	109.04	120.01	1603	B	1.50	-0.40
208-1262B-13H-3,100-101	109.07	120.04	1601	B	1.54	-0.36
208-1262B-13H-3,103-104	109.10	120.07	1599	B	1.51	-0.46
208-1262B-13H-3,106-107	109.13	120.10	1597	B	1.52	-0.40
208-1262B-13H-3,109-110	109.16	120.13	1595	B	1.50	-0.39
208-1262B-13H-3,112-113	109.19	120.16	1593	B	1.48	-0.48
208-1262B-13H-3,115-116	109.22	120.19	1591	B	1.43	-0.46
208-1262B-13H-3,118-119	109.25	120.22	1589	B	1.40	-0.57
208-1262B-13H-3,121-122	109.28	120.25	1587	B	1.46	-0.46
208-1262B-13H-3,124-125	109.31	120.28	1585	B	1.50	-0.41
208-1262B-13H-3,127-128	109.34	120.31	1583	B	1.52	-0.40
208-1262B-13H-3,130-131	109.37	120.34	1581	B	1.48	-0.41
208-1262B-13H-3,133-134	109.40	120.37	1579	B	1.42	-0.49
208-1262B-13H-3,136-137	109.43	120.40	1577	B	1.38	-0.52
208-1262B-13H-3,139-140	109.46	120.43	1575	B	1.34	-0.58
208-1262B-13H-3,142-143	109.49	120.46	1573	B	1.33	-0.38
208-1262B-13H-3,145-146	109.52	120.49	1570	B	1.35	-0.45
208-1262B-13H-3,148-149	109.55	120.52	1568	B	1.37	-0.40
208-1262B-13H-4,1-2	109.58	120.55	1566	B	1.48	-0.35
208-1262B-13H-4,4-5	109.61	120.58	1564	B	1.51	-0.29
208-1262B-13H-4,7-8	109.64	120.61	1562	B	1.54	-0.21
208-1262B-13H-4,10-11	109.67	120.64	1559	B	1.38	-0.48
208-1262B-13H-4,13-14	109.70	120.67	1557	B	1.40	-0.40
208-1262B-13H-4,16-17	109.73	120.70	1555	B	1.42	-0.25
