/* DATA DESCRIPTION:
Citation:	Littler, Kate; Röhl, Ursula; Westerhold, Thomas; Zachos, James C (2014): Bulk stable-isotope measurements of ODP Site 208-1262 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.833212, 
	In supplement to: Littler, K et al. (2014): A high-resolution benthic stable-isotope record for the South Atlantic: Implications for orbital-scale changes in Late Paleocene–Early Eocene climate and carbon cycling. Earth and Planetary Science Letters, 401, 18-30, https://doi.org/10.1016/j.epsl.2014.05.054
Further details:	Lourens, Lucas Joost; Sluijs, Appy; Kroon, Dick; Zachos, James C; Thomas, Ellen; Röhl, Ursula; Raffi, Isabella (2005): Astronomical pacing of late Palaeocene to early Eocene global warming events. Nature, 435(23), 1083-1087, https://doi.org/10.1038/nature03814
	Westerhold, Thomas; Röhl, Ursula; Raffi, Isabella; Fornaciari, Eliana; Monechi, Simonetta; Reale, Viviana; Bowles, Julie; Evans, Helen F (2008): Astronomical calibration of the Paleocene time. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(4), 377-403, https://doi.org/10.1016/j.palaeo.2007.09.016
	Zachos, James C; McCarren, Heather K; Murphy, Brandon; Röhl, Ursula; Westerhold, Thomas (2010): Tempo and scale of late Paleocene and early Eocene carbon isotope cycles: Implications for the origin of hyperthermals. Earth and Planetary Science Letters, 299(1-2), 242-249, https://doi.org/10.1016/j.epsl.2010.09.004
	Zachos, James C; Röhl, Ursula; Schellenberg, Stephen A; Sluijs, Appy; Hodell, David A; Kelly, Daniel Clay; Thomas, Ellen; Nicolo, Micah J; Raffi, Isabella; Lourens, Lucas Joost; McCarren, H; Kroon, Dick (2005): Rapid Acidification of the Ocean During the Paleocene-Eocene Thermal Maximum. Science, 308(5728), 1611-1615, https://doi.org/10.1126/science.1109004
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -27.185833 * LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00
	MINIMUM DEPTH, sediment/rock: 107.490 m * MAXIMUM DEPTH, sediment/rock: 184.980 m
Event(s):	208-1262 * LATITUDE: -27.185833 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00 * ELEVATION: -4755.4 m * Penetration: 583.9 m * Recovery: 502.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 54 cores; 493.9 m cored; 90 m drilled; 101.7 % recovery
Comment:	DEPTH, sediment/rock = Depth (mcd).
	New data for this study was collected at MARUM ("Littler et al., 2014 (MARUM)"), and is combined with data from existing studies (see "data source" column) to give one continuous dataset. All values relative to VPDB.
	Age model is based on option 1 of Westerhold et al., 2008 (W08), extended in this study to encompass depths 103-113 mcd.
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	δ13C [‰ PDB] (δ13C) * PI: Littler, Kate (k.littler@exeter.ac.uk) * COMMENT: Bulk, relative to VPDB
	δ18O [‰] (δ18O) * PI: Littler, Kate (k.littler@exeter.ac.uk) * COMMENT: Bulk, relative to VPDB
	Reference/source (Reference) * PI: Littler, Kate (k.littler@exeter.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	8046 data points
*/
Depth sed [m]	Age [ka BP]	δ13C [‰ PDB]	δ18O [‰]	Reference
117.000	53693.000	1.050	-0.600	Lourens et al., 2005
117.010	53694.000	1.060	-0.640	Lourens et al., 2005
117.020	53695.000	1.030	-0.740	Lourens et al., 2005
117.030	53696.000	0.950	-0.840	Lourens et al., 2005
117.040	53697.400	0.970	-0.790	Lourens et al., 2005
117.050	53698.800	0.900	-0.850	Lourens et al., 2005
117.060	53700.200	0.910	-0.920	Lourens et al., 2005
117.065	53700.900	0.870	-0.900	Lourens et al., 2005
117.070	53701.600	0.890	-0.830	Lourens et al., 2005
117.075	53702.300	0.840	-0.920	Lourens et al., 2005
117.080	53703.000	0.830	-0.800	Lourens et al., 2005
117.085	53703.700	0.790	-0.840	Lourens et al., 2005
117.090	53704.400	0.860	-0.860	Lourens et al., 2005
117.095	53705.100	0.760	-0.960	Lourens et al., 2005
117.100	53705.800	0.680	-0.860	Lourens et al., 2005
117.105	53706.500	0.650	-0.960	Lourens et al., 2005
117.110	53707.200	0.620	-0.930	Lourens et al., 2005
117.115	53707.900	0.750	-1.010	Lourens et al., 2005
117.120	53708.600	0.890	-0.900	Lourens et al., 2005
117.125	53709.300	0.770	-0.950	Lourens et al., 2005
117.130	53710.000	0.730	-0.930	Lourens et al., 2005
117.135	53710.700	0.720	-0.980	Lourens et al., 2005
117.140	53711.400	0.690	-0.990	Lourens et al., 2005
117.145	53712.100	0.690	-0.910	Lourens et al., 2005
117.150	53712.800	0.830	-0.760	Lourens et al., 2005
117.155	53713.500	0.620	-0.870	Lourens et al., 2005
117.160	53714.200	0.560	-0.880	Lourens et al., 2005
117.165	53714.900	0.630	-0.870	Lourens et al., 2005
117.170	53715.600	0.660	-0.800	Lourens et al., 2005
117.175	53716.300	0.620	-0.940	Lourens et al., 2005
117.180	53717.000	0.740	-0.880	Lourens et al., 2005
117.185	53717.432	0.920	-0.790	Lourens et al., 2005
117.190	53717.863	0.820	-0.840	Lourens et al., 2005
117.195	53718.295	1.040	-0.770	Lourens et al., 2005
117.200	53718.726	0.970	-0.880	Lourens et al., 2005
117.205	53719.158	1.250	-1.100	Lourens et al., 2005
117.210	53719.589	1.460	-1.000	Lourens et al., 2005
117.215	53720.021	1.420	-0.770	Lourens et al., 2005
117.220	53720.452	1.300	-0.600	Lourens et al., 2005
117.225	53720.884	1.140	-0.720	Lourens et al., 2005
117.230	53721.315	1.130	-0.710	Lourens et al., 2005
117.235	53721.747	1.350	-0.750	Lourens et al., 2005
117.240	53722.179	1.380	-0.810	Lourens et al., 2005
117.245	53722.610	1.300	-0.780	Lourens et al., 2005
117.250	53723.042	1.340	-0.880	Lourens et al., 2005
117.255	53723.473	1.310	-0.890	Lourens et al., 2005
117.260	53723.905	1.340	-0.800	Lourens et al., 2005
117.265	53724.336	1.320	-0.800	Lourens et al., 2005
117.270	53724.768	1.310	-0.800	Lourens et al., 2005
117.275	53725.199	1.510	-0.710	Lourens et al., 2005
117.280	53725.631	1.360	-0.850	Lourens et al., 2005
117.285	53726.063	1.350	-0.750	Lourens et al., 2005
117.290	53726.494	1.350	-0.700	Lourens et al., 2005
117.295	53726.926	1.320	-0.750	Lourens et al., 2005
117.300	53727.357	1.370	-0.630	Lourens et al., 2005
117.305	53727.789	1.380	-0.690	Lourens et al., 2005
117.310	53728.220	1.400	-0.630	Lourens et al., 2005
117.315	53728.652	1.410	-0.610	Lourens et al., 2005
117.320	53729.083	1.400	-0.630	Lourens et al., 2005
117.325	53729.515	1.390	-0.640	Lourens et al., 2005
117.330	53729.946	1.470	-0.640	Lourens et al., 2005
117.335	53730.378	1.460	-0.630	Lourens et al., 2005
117.340	53730.810	1.580	-0.570	Lourens et al., 2005
117.350	53731.241	1.530	-0.570	Lourens et al., 2005
117.350	53731.673	1.530	-0.600	Lourens et al., 2005
117.360	53732.536	1.590	-0.470	Lourens et al., 2005
117.370	53733.399	1.580	-0.440	Lourens et al., 2005
117.380	53734.262	1.520	-0.480	Lourens et al., 2005
117.390	53735.125	1.450	-0.490	Lourens et al., 2005
117.400	53735.988	1.540	-0.420	Lourens et al., 2005
117.410	53736.851	1.550	-0.480	Lourens et al., 2005
117.420	53737.714	1.490	-0.450	Lourens et al., 2005
117.430	53738.577	1.530	-0.410	Lourens et al., 2005
117.440	53739.440	1.510	-0.450	Lourens et al., 2005
117.450	53740.304	1.490	-0.490	Lourens et al., 2005
117.460	53741.167	1.500	-0.540	Lourens et al., 2005
117.470	53742.030	1.470	-0.760	Lourens et al., 2005
117.480	53742.893	1.500	-0.530	Lourens et al., 2005
117.490	53743.756	1.460	-0.560	Lourens et al., 2005
117.500	53744.619	1.510	-0.510	Lourens et al., 2005
117.510	53745.482	1.470	-0.540	Lourens et al., 2005
117.520	53746.345	1.480	-0.520	Lourens et al., 2005
117.530	53747.208	1.500	-0.460	Lourens et al., 2005
117.540	53748.071	1.540	-0.510	Zachos et al., 2010
117.550	53748.935	1.500	-0.430	Zachos et al., 2010
117.610	53754.113	1.560	-0.400	Zachos et al., 2010
117.640	53756.702	1.620	-0.410	Zachos et al., 2010
117.670	53759.292	1.620	-0.460	Zachos et al., 2010
117.700	53761.881	1.670	-0.390	Zachos et al., 2010
117.730	53764.470	1.700	-0.410	Zachos et al., 2010
117.760	53767.060	1.590	-0.430	Zachos et al., 2010
117.790	53769.649	1.540	-0.420	Zachos et al., 2010
117.820	53772.238	1.530	-0.410	Zachos et al., 2010
117.850	53774.827	1.550	-0.430	Zachos et al., 2010
117.880	53777.417	1.460	-0.420	Zachos et al., 2010
117.910	53780.006	1.490	-0.390	Zachos et al., 2010
117.940	53782.595	1.490	-0.330	Zachos et al., 2010
117.970	53785.185	1.520	-0.370	Zachos et al., 2010
118.000	53787.774	1.480	-0.440	Zachos et al., 2010
118.030	53790.363	1.430	-0.440	Zachos et al., 2010
118.060	53792.952	1.390	-0.510	Zachos et al., 2010
118.090	53795.542	1.500	-0.480	Zachos et al., 2010
118.120	53798.131	1.590	-0.260	Zachos et al., 2010
118.150	53800.720	1.580	-0.270	Zachos et al., 2010
118.180	53803.310	1.280	-0.600	Zachos et al., 2010
118.210	53805.899	1.310	-0.550	Zachos et al., 2010
118.240	53808.488	1.370	-0.470	Zachos et al., 2010
118.270	53811.077	1.420	-0.450	Zachos et al., 2010
118.300	53813.667	1.440	-0.350	Zachos et al., 2010
118.330	53816.256	1.440	-0.340	Zachos et al., 2010
118.360	53818.845	1.360	-0.460	Zachos et al., 2010
118.390	53821.435	1.410	-0.480	Zachos et al., 2010
118.420	53824.024	1.400	-0.490	Zachos et al., 2010
118.450	53826.613	1.400	-0.560	Zachos et al., 2010
118.480	53829.202	1.450	-0.540	Zachos et al., 2010
118.510	53831.792	1.520	-0.300	Zachos et al., 2010
118.540	53834.381	1.530	-0.370	Zachos et al., 2010
118.570	53836.970	1.460	-0.530	Zachos et al., 2010
118.600	53839.560	1.420	-0.400	Zachos et al., 2010
118.630	53842.149	1.460	-0.450	Zachos et al., 2010
118.660	53844.738	1.500	-0.450	Zachos et al., 2010
118.690	53847.327	1.560	-0.450	Zachos et al., 2010
118.720	53849.917	1.550	-0.430	Zachos et al., 2010
118.750	53852.506	1.570	-0.330	Zachos et al., 2010
118.780	53855.095	1.530	-0.390	Zachos et al., 2010
118.810	53857.685	1.490	-0.360	Zachos et al., 2010
118.840	53860.274	1.530	-0.440	Zachos et al., 2010
118.870	53862.700	1.480	-0.480	Zachos et al., 2010
118.900	53864.800	1.500	-0.390	Zachos et al., 2010
118.930	53866.900	1.450	-0.350	Zachos et al., 2010
118.960	53869.000	1.510	-0.430	Zachos et al., 2010
118.990	53871.100	1.530	-0.310	Zachos et al., 2010
119.020	53873.200	1.520	-0.370	Zachos et al., 2010
119.050	53875.300	1.550	-0.280	Zachos et al., 2010
119.080	53877.400	1.570	-0.290	Zachos et al., 2010
119.110	53879.500	1.580	-0.230	Zachos et al., 2010
119.140	53881.600	1.580	-0.280	Zachos et al., 2010
119.170	53883.700	1.530	-0.270	Zachos et al., 2010
119.200	53885.800	1.530	-0.230	Zachos et al., 2010
119.230	53887.900	1.490	-0.360	Zachos et al., 2010
119.260	53890.000	1.440	-0.350	Zachos et al., 2010
119.290	53892.100	1.440	-0.420	Zachos et al., 2010
119.320	53894.200	1.460	-0.420	Zachos et al., 2010
119.350	53896.300	1.450	-0.460	Zachos et al., 2010
119.380	53898.400	1.520	-0.440	Zachos et al., 2010
119.410	53900.500	1.510	-0.510	Zachos et al., 2010
119.440	53902.600	1.500	-0.510	Zachos et al., 2010
119.470	53904.753	1.480	-0.510	Zachos et al., 2010
119.500	53907.011	1.500	-0.480	Zachos et al., 2010
119.530	53909.269	1.520	-0.470	Zachos et al., 2010
119.560	53911.527	1.550	-0.480	Zachos et al., 2010
119.590	53913.785	1.550	-0.410	Zachos et al., 2010
119.620	53916.043	1.580	-0.400	Zachos et al., 2010
119.650	53918.301	1.560	-0.470	Zachos et al., 2010
119.680	53920.559	1.590	-0.390	Zachos et al., 2010
119.710	53922.817	1.620	-0.420	Zachos et al., 2010
119.740	53925.075	1.590	-0.440	Zachos et al., 2010
119.770	53927.333	1.570	-0.430	Zachos et al., 2010
119.800	53929.591	1.550	-0.420	Zachos et al., 2010
119.830	53931.849	1.580	-0.460	Zachos et al., 2010
119.860	53934.108	1.530	-0.490	Zachos et al., 2010
119.890	53936.366	1.500	-0.550	Zachos et al., 2010
119.920	53938.624	1.490	-0.620	Zachos et al., 2010
119.950	53940.882	1.410	-0.350	Zachos et al., 2010
119.980	53943.140	1.510	-0.430	Zachos et al., 2010
120.010	53945.398	1.500	-0.400	Zachos et al., 2010
120.040	53947.656	1.540	-0.360	Zachos et al., 2010
120.070	53949.914	1.510	-0.450	Zachos et al., 2010
120.100	53952.172	1.520	-0.400	Zachos et al., 2010
120.130	53954.430	1.500	-0.390	Zachos et al., 2010
120.160	53956.688	1.480	-0.490	Zachos et al., 2010
120.190	53958.946	1.430	-0.460	Zachos et al., 2010
120.220	53961.204	1.400	-0.570	Zachos et al., 2010
120.250	53963.462	1.460	-0.460	Zachos et al., 2010
120.280	53965.720	1.500	-0.410	Zachos et al., 2010
120.310	53967.978	1.520	-0.400	Zachos et al., 2010
120.340	53970.237	1.480	-0.410	Zachos et al., 2010
120.370	53972.495	1.420	-0.490	Zachos et al., 2010
120.400	53974.750	1.390	-0.520	Zachos et al., 2010
120.430	53977.000	1.340	-0.580	Zachos et al., 2010
120.460	53979.250	1.330	-0.380	Zachos et al., 2010
120.490	53981.500	1.350	-0.450	Zachos et al., 2010
120.520	53983.750	1.370	-0.400	Zachos et al., 2010
120.550	53986.000	1.480	-0.350	Zachos et al., 2010
120.580	53988.250	1.510	-0.290	Zachos et al., 2010
120.610	53990.500	1.540	-0.210	Zachos et al., 2010
120.640	53992.750	1.380	-0.480	Zachos et al., 2010
120.670	53995.000	1.400	-0.400	Zachos et al., 2010
120.700	53997.250	1.420	-0.250	Zachos et al., 2010
120.730	53999.500	1.440	-0.340	Zachos et al., 2010
120.760	54001.750	1.410	-0.270	Zachos et al., 2010
120.790	54004.000	1.460	-0.310	Zachos et al., 2010
120.820	54006.250	1.430	-0.320	Zachos et al., 2010
120.850	54008.500	1.480	-0.220	Zachos et al., 2010
120.880	54010.750	1.500	-0.290	Zachos et al., 2010
120.910	54013.000	1.490	-0.350	Zachos et al., 2010
120.940	54015.250	1.500	-0.280	Zachos et al., 2010
120.970	54017.500	1.450	-0.370	Zachos et al., 2010
121.000	54019.750	1.420	-0.430	Zachos et al., 2010
121.030	54022.000	1.510	-0.380	Zachos et al., 2010
121.060	54024.250	1.560	-0.250	Zachos et al., 2010
121.090	54026.500	1.500	-0.330	Zachos et al., 2010
121.120	54028.750	1.560	-0.270	Zachos et al., 2010
121.150	54031.000	1.530	-0.320	Zachos et al., 2010
121.180	54033.250	1.540	-0.260	Zachos et al., 2010
121.210	54035.500	1.530	-0.330	Zachos et al., 2010
121.330	54044.500	1.500	-0.340	Zachos et al., 2010
121.360	54046.750	1.490	-0.300	Zachos et al., 2010
121.390	54049.000	1.510	-0.350	Zachos et al., 2010
121.420	54051.250	1.510	-0.240	Zachos et al., 2010
121.450	54053.500	1.550	-0.330	Zachos et al., 2010
121.480	54055.750	1.550	-0.260	Zachos et al., 2010
121.510	54058.000	1.500	-0.330	Zachos et al., 2010
121.540	54060.250	1.490	-0.290	Zachos et al., 2010
121.570	54062.500	1.490	-0.340	Zachos et al., 2010
121.600	54064.697	1.440	-0.360	Zachos et al., 2010
121.630	54066.787	1.440	-0.430	Zachos et al., 2010
121.660	54068.877	1.420	-0.370	Zachos et al., 2010
121.690	54070.968	1.490	-0.400	Zachos et al., 2010
121.720	54073.058	1.490	-0.300	Zachos et al., 2010
121.750	54075.148	1.460	-0.300	Zachos et al., 2010
121.780	54077.238	1.420	-0.250	Zachos et al., 2010
121.810	54079.329	1.360	-0.270	Zachos et al., 2010
121.840	54081.419	1.310	-0.370	Zachos et al., 2010
121.870	54083.509	1.360	-0.440	Zachos et al., 2010
121.900	54085.600	1.330	-0.550	Zachos et al., 2010
121.930	54087.690	1.370	-0.660	Zachos et al., 2010
121.960	54089.780	1.400	-0.610	Zachos et al., 2010
121.990	54091.870	1.480	-0.510	Zachos et al., 2010
122.020	54093.961	1.570	-0.470	Zachos et al., 2010
122.050	54096.051	1.650	-0.670	Zachos et al., 2010
122.110	54100.231	1.610	-0.290	Zachos et al., 2010
122.140	54102.322	1.490	-0.430	Zachos et al., 2010
122.170	54104.412	1.490	-0.480	Zachos et al., 2010
122.200	54106.502	1.500	-0.530	Zachos et al., 2010
122.230	54108.593	1.480	-0.460	Zachos et al., 2010
122.260	54110.683	1.510	-0.390	Zachos et al., 2010
122.290	54112.773	1.440	-0.480	Zachos et al., 2010
122.320	54114.863	1.500	-0.390	Zachos et al., 2010
122.350	54116.954	1.450	-0.550	Zachos et al., 2010
122.380	54119.044	1.510	-0.560	Zachos et al., 2010
122.410	54121.134	1.510	-0.510	Zachos et al., 2010
122.440	54123.225	1.570	-0.480	Zachos et al., 2010
122.470	54125.315	1.610	-0.470	Zachos et al., 2010
122.500	54127.405	1.670	-0.350	Zachos et al., 2010
122.530	54129.495	1.590	-0.460	Zachos et al., 2010
122.560	54131.586	1.660	-0.450	Zachos et al., 2010
122.590	54133.676	1.630	-0.500	Zachos et al., 2010
122.620	54135.766	1.600	-0.550	Zachos et al., 2010
122.650	54137.856	1.600	-0.500	Zachos et al., 2010
122.680	54139.947	1.620	-0.520	Zachos et al., 2010
122.710	54142.037	1.670	-0.490	Zachos et al., 2010
122.740	54144.127	1.680	-0.490	Zachos et al., 2010
122.770	54146.218	1.660	-0.480	Zachos et al., 2010
122.800	54148.308	1.690	-0.510	Zachos et al., 2010
122.830	54150.398	1.650	-0.500	Zachos et al., 2010
122.860	54152.488	1.640	-0.460	Zachos et al., 2010
122.890	54154.579	1.660	-0.500	Zachos et al., 2010
122.920	54156.669	1.650	-0.660	Zachos et al., 2010
122.950	54158.759	1.730	-0.340	Zachos et al., 2010
122.980	54160.850	1.720	-0.390	Zachos et al., 2010
123.010	54162.940	1.620	-0.560	Zachos et al., 2010
123.040	54165.030	1.700	-0.410	Zachos et al., 2010
123.070	54167.120	1.640	-0.420	Zachos et al., 2010
123.100	54169.211	1.650	-0.530	Zachos et al., 2010
123.130	54171.301	1.620	-0.470	Zachos et al., 2010
123.160	54173.391	1.620	-0.540	Zachos et al., 2010
123.190	54175.481	1.700	-0.490	Zachos et al., 2010
123.220	54177.572	1.700	-0.460	Zachos et al., 2010
123.250	54179.662	1.770	-0.440	Zachos et al., 2010
123.280	54181.752	1.770	-0.330	Zachos et al., 2010
123.310	54183.843	1.730	-0.460	Zachos et al., 2010
123.340	54185.933	1.800	-0.360	Zachos et al., 2010
123.370	54188.023	1.750	-0.330	Zachos et al., 2010
123.400	54190.113	1.800	-0.300	Zachos et al., 2010
123.430	54192.204	1.760	-0.290	Zachos et al., 2010
123.460	54194.294	1.750	-0.470	Zachos et al., 2010
123.490	54196.384	1.690	-0.340	Zachos et al., 2010
123.520	54198.475	1.720	-0.300	Zachos et al., 2010
123.580	54202.655	1.660	-0.460	Zachos et al., 2010
123.610	54204.745	1.680	-0.410	Zachos et al., 2010
123.640	54206.836	1.710	-0.510	Zachos et al., 2010
123.670	54208.926	1.730	-0.460	Zachos et al., 2010
123.700	54211.016	1.800	-0.410	Zachos et al., 2010
123.730	54213.106	1.770	-0.420	Zachos et al., 2010
123.760	54215.197	1.830	-0.410	Zachos et al., 2010
123.790	54217.287	1.810	-0.390	Zachos et al., 2010
123.820	54219.377	1.800	-0.360	Zachos et al., 2010
123.850	54221.468	1.810	-0.360	Zachos et al., 2010
123.880	54223.558	1.830	-0.400	Zachos et al., 2010
123.910	54225.648	1.820	-0.450	Zachos et al., 2010
123.940	54227.738	1.840	-0.450	Zachos et al., 2010
123.970	54229.829	1.850	-0.420	Zachos et al., 2010
124.000	54231.919	1.760	-0.450	Zachos et al., 2010
124.030	54234.009	1.850	-0.400	Zachos et al., 2010
124.060	54236.100	1.820	-0.400	Zachos et al., 2010
124.090	54238.190	1.840	-0.430	Zachos et al., 2010
124.120	54240.280	1.820	-0.450	Zachos et al., 2010
124.120	54240.280	1.550	-0.540	Zachos et al., 2010
124.150	54242.370	1.830	-0.440	Zachos et al., 2010
124.150	54242.370	1.620	-0.410	Zachos et al., 2010
124.180	54244.461	1.880	-0.420	Zachos et al., 2010
124.180	54244.461	1.520	-0.380	Zachos et al., 2010
124.240	54248.641	1.440	-0.460	Zachos et al., 2010
124.270	54250.731	1.610	-0.440	Zachos et al., 2010
124.330	54254.912	1.560	-0.420	Zachos et al., 2010
124.450	54263.273	1.800	-0.330	Zachos et al., 2010
124.480	54265.363	1.820	-0.330	Zachos et al., 2010
124.570	54271.634	1.820	-0.430	Zachos et al., 2010
124.660	54277.905	1.770	-0.420	Zachos et al., 2010
124.750	54284.176	1.740	-0.330	Zachos et al., 2010
124.810	54288.356	1.720	-0.470	Zachos et al., 2010
124.870	54292.537	1.780	-0.500	Zachos et al., 2010
124.900	54294.627	1.740	-0.410	Zachos et al., 2010
124.930	54296.718	1.790	-0.370	Zachos et al., 2010
124.960	54298.808	1.780	-0.260	Zachos et al., 2010
124.990	54300.898	1.820	-0.320	Zachos et al., 2010
125.020	54302.988	1.870	-0.280	Zachos et al., 2010
125.050	54305.079	1.870	-0.260	Zachos et al., 2010
125.080	54307.169	1.810	-0.250	Zachos et al., 2010
125.110	54309.259	1.820	-0.270	Zachos et al., 2010
125.140	54311.350	1.850	-0.290	Zachos et al., 2010
125.170	54313.440	1.900	-0.280	Zachos et al., 2010
125.200	54315.530	1.900	-0.260	Zachos et al., 2010
125.230	54317.620	1.890	-0.380	Zachos et al., 2010
125.260	54319.711	1.870	-0.260	Zachos et al., 2010
125.290	54321.801	1.880	-0.350	Zachos et al., 2010
125.320	54323.891	1.870	-0.300	Zachos et al., 2010
125.350	54325.981	1.840	-0.410	Zachos et al., 2010
125.380	54328.072	1.770	-0.330	Zachos et al., 2010
125.410	54330.162	1.810	-0.300	Zachos et al., 2010
125.440	54332.252	1.780	-0.240	Zachos et al., 2010
125.470	54334.343	1.820	-0.250	Zachos et al., 2010
125.500	54336.433	1.840	-0.190	Zachos et al., 2010
125.530	54338.523	1.930	-0.160	Zachos et al., 2010
125.560	54340.613	1.870	-0.140	Zachos et al., 2010
125.590	54342.704	1.650	-0.200	Zachos et al., 2010
125.620	54344.794	1.680	-0.410	Zachos et al., 2010
125.650	54346.884	1.740	-0.350	Zachos et al., 2010
125.680	54348.975	1.690	-0.310	Zachos et al., 2010
125.710	54351.065	1.620	-0.490	Zachos et al., 2010
125.740	54353.155	1.750	-0.440	Zachos et al., 2010
125.770	54355.245	1.820	-0.320	Zachos et al., 2010
125.800	54357.336	1.760	-0.360	Zachos et al., 2010
125.860	54361.516	1.820	-0.400	Zachos et al., 2010
125.890	54363.606	1.830	-0.330	Zachos et al., 2010
125.920	54365.730	1.680	-0.290	Zachos et al., 2010
125.950	54367.921	1.670	-0.400	Zachos et al., 2010
125.980	54370.112	1.680	-0.460	Zachos et al., 2010
126.010	54372.303	1.670	-0.310	Zachos et al., 2010
126.040	54374.493	1.690	-0.420	Zachos et al., 2010
126.070	54376.684	1.790	-0.280	Zachos et al., 2010
126.100	54378.875	1.850	-0.360	Zachos et al., 2010
126.130	54381.066	1.770	-0.350	Zachos et al., 2010
126.160	54383.257	1.910	-0.130	Zachos et al., 2010
126.190	54385.447	1.890	-0.370	Zachos et al., 2010
126.220	54387.638	1.680	-0.270	Zachos et al., 2010
126.250	54389.829	1.680	-0.340	Zachos et al., 2010
126.280	54392.020	1.610	-0.380	Zachos et al., 2010
126.310	54394.211	1.680	-0.350	Zachos et al., 2010
126.340	54396.401	1.660	-0.440	Zachos et al., 2010
126.370	54398.592	1.800	-0.400	Zachos et al., 2010
126.400	54400.783	1.870	-0.370	Zachos et al., 2010
126.430	54402.974	1.870	-0.250	Zachos et al., 2010
126.460	54405.164	1.850	-0.250	Zachos et al., 2010
126.490	54407.355	1.830	-0.280	Zachos et al., 2010
126.520	54409.546	1.780	-0.300	Zachos et al., 2010
126.550	54411.737	1.770	-0.310	Zachos et al., 2010
126.610	54416.118	1.780	-0.350	Zachos et al., 2010
126.640	54418.309	1.810	-0.310	Zachos et al., 2010
126.670	54420.500	1.860	-0.240	Zachos et al., 2010
126.700	54422.691	1.850	-0.360	Zachos et al., 2010
126.730	54424.882	1.880	-0.230	Zachos et al., 2010
126.760	54427.072	1.800	-0.200	Zachos et al., 2010
126.790	54429.263	1.820	-0.230	Zachos et al., 2010
126.820	54431.454	1.810	-0.270	Zachos et al., 2010
126.850	54433.645	1.840	-0.200	Zachos et al., 2010
126.880	54435.836	1.760	-0.350	Zachos et al., 2010
126.910	54438.026	1.760	-0.330	Zachos et al., 2010
126.940	54440.217	1.820	-0.260	Zachos et al., 2010
126.970	54442.408	1.780	-0.280	Zachos et al., 2010
127.030	54446.789	1.830	-0.250	Zachos et al., 2010
127.060	54448.980	1.820	-0.210	Zachos et al., 2010
127.090	54451.171	1.790	-0.290	Zachos et al., 2010
127.120	54453.362	1.720	-0.350	Zachos et al., 2010
127.150	54455.553	1.700	-0.350	Zachos et al., 2010
127.180	54457.743	1.700	-0.540	Zachos et al., 2010
127.210	54459.934	1.750	-0.460	Zachos et al., 2010
127.240	54462.125	1.810	-0.440	Zachos et al., 2010
127.270	54464.316	1.870	-0.310	Zachos et al., 2010
127.300	54466.507	1.910	-0.340	Zachos et al., 2010
127.330	54468.697	1.910	-0.310	Zachos et al., 2010
127.360	54470.888	1.890	-0.280	Zachos et al., 2010
127.390	54473.079	1.890	-0.360	Zachos et al., 2010
127.420	54475.270	1.880	-0.260	Zachos et al., 2010
127.450	54477.472	1.820	-0.410	Zachos et al., 2010
127.480	54479.680	1.800	-0.360	Zachos et al., 2010
127.510	54481.888	1.820	-0.330	Zachos et al., 2010
127.540	54484.096	1.820	-0.450	Zachos et al., 2010
127.600	54488.512	1.890	-0.230	Zachos et al., 2010
127.630	54490.720	1.970	-0.140	Zachos et al., 2010
127.660	54492.928	1.980	-0.090	Zachos et al., 2010
127.690	54495.136	1.970	-0.180	Zachos et al., 2010
127.720	54497.344	1.940	-0.220	Zachos et al., 2010
127.750	54499.552	1.900	-0.270	Zachos et al., 2010
127.780	54501.760	1.910	-0.370	Zachos et al., 2010
127.810	54503.968	1.880	-0.350	Zachos et al., 2010
127.840	54506.176	1.880	-0.400	Zachos et al., 2010
127.870	54508.384	1.950	-0.280	Zachos et al., 2010
127.900	54510.592	1.970	-0.290	Zachos et al., 2010
127.930	54512.800	2.000	-0.250	Zachos et al., 2010
127.960	54515.008	2.000	-0.240	Zachos et al., 2010
127.990	54517.216	1.970	-0.210	Zachos et al., 2010
128.020	54519.424	1.950	-0.250	Zachos et al., 2010
128.050	54521.632	1.930	-0.230	Zachos et al., 2010
128.080	54523.840	1.940	-0.180	Zachos et al., 2010
128.110	54526.048	1.940	-0.170	Zachos et al., 2010
128.140	54528.256	1.940	-0.170	Zachos et al., 2010
